popularity,budget,revenue,original_title,runtime,vote_average,genre
2.096273,25000000.0,52395996.0,The Night Before,100.0,6.1,Comedy
2.080935,2500000.0,5214043.0,Knock Knock,99.0,4.8,Drama
2.070708,34000000.0,63013281.0,The Longest Ride,128.0,7.3,Romance
2.060162,80000000.0,466183544.0,Hotel Transylvania 2,89.0,6.8,Animation
2.055572,17000000.0,24000000.0,Love the Coopers,107.0,5.3,Family
2.049886,35000000.0,61181942.0,The Walk,123.0,6.8,Adventure
2.026651,11000000.0,1863315.0,Tracers,94.0,5.9,Action
2.000338,31000000.0,104384188.0,Vacation,99.0,6.1,Adventure
1.984529,35000000.0,95437994.0,Poltergeist,93.0,5.0,Horror
1.980039,4000000.0,187112.0,Maggie,95.0,5.1,Horror
1.95632,50000000.0,3324330.0,Child 44,137.0,5.9,Crime
1.926739,5000000.0,58978653.0,The Gift,108.0,6.6,Thriller
1.904898,50000000.0,240360392.0,Daddy's Home,96.0,5.7,Comedy
1.865007,64000000.0,97571250.0,The Little Prince,92.0,7.5,Adventure
1.82313,11930000.0,18340000.0,The Dressmaker,118.0,6.9,Drama
1.758618,8500000.0,43528634.0,The DUFF,100.0,6.8,Romance
1.742286,10000000.0,52882018.0,Sinister 2,97.0,5.5,Horror
1.73518,30000000.0,107597242.0,Paul Blart: Mall Cop 2,94.0,5.3,Action
1.65107799999999,4000000.0,50163103.0,The Boy Next Door,91.0,3.9,Thriller
1.532997,30000000.0,49263404.0,Entourage,104.0,6.2,Comedy
1.510096,23000000.0,79799880.0,The Wedding Ringer,101.0,6.5,Comedy
1.499614,15000000.0,14860766.0,Scouts Guide to the Zombie Apocalypse,93.0,6.2,Comedy
1.495112,5000000.0,98450062.0,The Visit,94.0,5.9,Horror
1.48324599999999,53000000.0,99775678.0,Black Mass,122.0,6.3,Crime
1.449072,8900000.0,50136.0,Heist,93.0,5.4,Crime
1.448002,15000000.0,61548707.0,Krampus,98.0,5.9,Horror
1.443406,20000000.0,208588.0,Dark Places,113.0,5.7,Drama
1.41239,5000000.0,54418872.0,No Escape,103.0,6.7,Action
1.40805,700000.0,17986781.0,Dope,103.0,7.3,Crime
1.388251,28000000.0,28208085.0,American Ultra,96.0,5.9,Comedy
1.388032,11000000.0,61619773.0,Woman in Gold,120.0,7.3,Drama
1.376605,30000000.0,105011053.0,Sisters,118.0,5.9,Comedy
1.360926,12000000.0,32248241.0,Project Almanac,106.0,6.3,Science Fiction
1.355822,25000000.0,72629670.0,The Transporter Refueled,96.0,5.3,Thriller
1.345982,55000000.0,74679822.0,Crimson Peak,119.0,6.4,Mystery
1.338481,14800000.0,122413057.0,Magic Mike XXL,115.0,6.3,Comedy
1.338322,10000000.0,78099553.0,Paranormal Activity: The Ghost Dimension,88.0,5.0,Horror
1.316239,15000000.0,8235661.0,Trumbo,124.0,7.2,Drama
1.315266,19500000.0,32189727.0,Secret in Their Eyes,111.0,6.2,Crime
1.291013,74000000.0,311594032.0,The SpongeBob Movie: Sponge Out of Water,93.0,5.7,Family
1.278928,20000000.0,43967255.0,Max,111.0,7.0,Adventure
1.225325,40000000.0,10664749.0,The Gunman,115.0,5.6,Action
1.191138,1000000.0,62882090.0,Unfriended,82.0,5.6,Horror
1.178831,35000000.0,51680201.0,Hot Pursuit,87.0,5.5,Action
1.164724,10000000.0,104303851.0,Insidious: Chapter 3,97.0,6.3,Drama
1.142518,6000000.0,41387687.0,The Lady in the Van,104.0,5.9,Comedy
1.138395,40000000.0,34227298.0,Victor Frankenstein,109.0,5.5,Drama
1.125239,8000000.0,3759286.0,Anomalisa,90.0,6.7,Animation
1.03839,2000000.0,1477002.0,The Diary of a Teenage Girl,102.0,6.8,Drama
1.007054,11000000.0,27391084.0,Irrational Man,95.0,6.1,Mystery
0.956096,18000000.0,41325328.0,Ricki and the Flash,100.0,5.5,Comedy
0.950793,12000000.0,60273173.0,The Perfect Guy,100.0,5.6,Drama
0.93762,10000000.0,7587485.0,While We're Young,97.0,5.9,Drama
0.927339,40000000.0,106511453.0,Get Hard,100.0,5.9,Comedy
0.906036,25000000.0,24902723.0,The 33,120.0,5.8,History
0.898295999999999,14000000.0,16002420.0,Suffragette,106.0,7.1,Drama
0.880937999999999,6000000.0,11122090.0,We Are Your Friends,96.0,6.2,Drama
0.832487,10000000.0,85978266.0,The Second Best Exotic Marigold Hotel,122.0,6.4,Drama
0.829111,20000000.0,6420319.0,Little Boy,106.0,7.1,Comedy
0.814206,37000000.0,26250020.0,Aloha,105.0,5.2,Adventure
0.795762,28000000.0,7002261.0,Our Brand Is Crisis,108.0,5.7,Drama
0.706023,7000000.0,573335.0,Freeheld,103.0,7.1,Romance
0.699932,3000000.0,695269.0,Love,134.0,4.7,Drama
0.69957,9600000.0,2541554.0,Truth,121.0,6.4,Drama
0.690479,10000000.0,10835752.0,Danny Collins,107.0,6.6,Comedy
0.689578999999999,15000000.0,3020664.0,Rock the Kasbah,100.0,5.1,Comedy
0.673792,1000000.0,14444999.0,"Hello, My Name Is Doris",95.0,6.6,Comedy
0.669351,13000000.0,1784763.0,The Vatican Tapes,91.0,4.5,Thriller
0.661471,8000000.0,1411927.0,99 Homes,112.0,6.8,Drama
0.661163,14000000.0,12314651.0,Hot Tub Time Machine 2,93.0,5.0,Comedy
0.654046,4000000.0,143101.0,Manglehorn,97.0,5.0,Drama
0.602165,8000000.0,35991087.0,A Walk in the Woods,104.0,5.4,Drama
0.599655,3300000.0,64110728.0,The Lazarus Effect,83.0,4.9,Thriller
0.577814,35000000.0,14431253.0,Unfinished Business,90.0,4.9,Comedy
0.570743999999999,2000000.0,45431.0,Lost River,95.0,5.7,Fantasy
0.532205,100000.0,42664410.0,The Gallows,87.0,5.0,Horror
0.524315,10000000.0,3334927.0,By the Sea,122.0,5.4,Drama
0.46209,9000000.0,21571189.0,Black or White,121.0,6.7,Drama
0.450872,13000000.0,1646788.0,I Saw the Light,123.0,5.6,Drama
0.435582,5000000.0,2333684.0,Jem and the Holograms,119.0,5.7,Drama
0.424813,6000000.0,90777.0,Beasts of No Nation,137.0,7.5,Drama
0.414913,3000000.0,3387000.0,Demonic,83.0,5.0,Thriller
0.402236,447524.0,771317.0,The D Train,101.0,4.2,Drama
0.365901,10000000.0,17472.0,Strangerland,111.0,5.0,Drama
0.336107,2000000.0,2801508.0,Captive,97.0,5.7,Crime
0.298751,5000000.0,4842699.0,90 Minutes in Heaven,121.0,5.7,Drama
0.259794,600000.0,7087452.0,Grandma,78.0,5.6,Drama
0.731022,3000000.0,67790117.0,War Room,120.0,6.9,Drama
0.076109,13500000.0,187674.0,Stonewall,129.0,5.6,Drama
24.949134,165000000.0,621752480.0,Interstellar,169.0,8.0,Adventure
14.311205,170000000.0,773312399.0,Guardians of the Galaxy,121.0,7.9,Action
12.971027,170000000.0,714766572.0,Captain America: The Winter Soldier,136.0,7.6,Action
11.422751,20000000.0,78739897.0,John Wick,101.0,7.0,Action
10.739009,125000000.0,752100229.0,The Hunger Games: Mockingjay - Part 1,123.0,6.6,Science Fiction
10.174599,250000000.0,955119788.0,The Hobbit: The Battle of the Five Armies,144.0,7.1,Adventure
8.691294,165000000.0,652105443.0,Big Hero 6,102.0,7.8,Adventure
8.110711,14000000.0,233555708.0,The Imitation Game,113.0,8.0,History
7.137273,34000000.0,348319861.0,The Maze Runner,113.0,7.0,Action
6.90714799999999,18000000.0,103215094.0,Birdman,119.0,7.3,Drama
6.438727,61000000.0,369330363.0,Gone Girl,145.0,7.9,Mystery
6.415818,68000000.0,211817906.0,Fury,135.0,7.4,War
6.286692,127000000.0,349424282.0,Night at the Museum: Secret of the Tomb,97.0,6.1,Adventure
6.14502,85000000.0,288747895.0,Divergent,139.0,6.9,Action
6.052479,250000000.0,746000000.0,X-Men: Days of Future Past,131.0,7.6,Action
5.947136,40000000.0,463360063.0,Lucy,89.0,6.3,Action
5.787396,125000000.0,477200000.0,Teenage Mutant Ninja Turtles,101.0,5.8,Science Fiction
5.701683,40000000.0,126069509.0,Sex Tape,97.0,5.3,Comedy
5.522641,8500000.0,38697217.0,Nightcrawler,117.0,7.6,Crime
4.983782,210000000.0,245500000.0,Transformers: Age of Extinction,165.0,5.9,Science Fiction
4.93082,30000000.0,174600318.0,The Grand Budapest Hotel,99.0,7.9,Comedy
4.780419,3300000.0,13993093.0,Whiplash,105.0,8.2,Drama
4.452507,170000000.0,708200000.0,Dawn of the Planet of the Apes,130.0,7.4,Science Fiction
4.145209,55000000.0,192330738.0,The Equalizer,132.0,7.2,Thriller
4.105685,42000000.0,106645357.0,Horrible Bosses 2,108.0,6.1,Comedy
4.101979,200000000.0,705717432.0,The Amazing Spider-Man 2,142.0,6.6,Action
3.990452,178000000.0,370541256.0,Edge of Tomorrow,113.0,7.7,Action
3.989231,44000000.0,11305175.0,The Interview,112.0,6.1,Action
3.863074,58800000.0,542307423.0,American Sniper,134.0,7.5,War
3.81374,140000000.0,268031828.0,Exodus: Gods and Kings,153.0,5.6,Adventure
3.689601,160000000.0,529076069.0,Godzilla,123.0,6.2,Action
3.582315,180000000.0,758410378.0,Maleficent,97.0,7.0,Fantasy
3.573028,15000000.0,32556119.0,The November Man,108.0,6.0,Crime
3.489314,5000000.0,102529779.0,Ouija,89.0,4.9,Horror
3.489106,145000000.0,609123048.0,How to Train Your Dragon 2,102.0,7.7,Fantasy
3.393741,2000000.0,13500000.0,It Follows,100.0,6.6,Thriller
3.34625,90000000.0,206172544.0,The Expendables 3,127.0,6.2,Action
3.327799,60000000.0,469160692.0,The Lego Movie,100.0,7.5,Adventure
3.260581,95000000.0,114178613.0,Seventh Son,102.0,5.1,Adventure
3.170271,15000000.0,121201940.0,The Theory of Everything,123.0,7.8,Drama
3.14993,17000000.0,136621271.0,Let's Be Cops,104.0,6.4,Comedy
3.028769,70000000.0,215529201.0,Dracula Untold,92.0,6.1,Horror
3.007018,132000000.0,373552094.0,Penguins of Madagascar,92.0,6.5,Family
2.996038,50000000.0,212902372.0,Into the Woods,125.0,5.6,Fantasy
2.979181,110000000.0,337580051.0,300: Rise of an Empire,102.0,6.1,Action
2.881991,25000000.0,66980456.0,The Giver,94.0,6.3,Drama
2.805019,50000000.0,188441614.0,22 Jump Street,112.0,7.0,Crime
2.777996,28000000.0,53181600.0,A Walk Among the Tombstones,113.0,6.2,Crime
2.721864,55000000.0,259207227.0,Paddington,95.0,7.1,Comedy
2.692691,7000000.0,2360281.0,Cake,102.0,6.1,Drama
2.67235,11000000.0,45967935.0,Chef,115.0,7.2,Comedy
2.611251,9000000.0,108782847.0,The Purge: Anarchy,104.0,6.6,Horror
2.601775,16000000.0,19682924.0,Left Behind,110.0,3.8,Thriller
2.595951,4000000.0,44349000.0,Boyhood,164.0,7.6,Drama
2.576396,20000000.0,12007070.0,A Most Violent Year,125.0,6.4,Action
2.549403,100000000.0,243400000.0,Hercules,99.0,5.6,Action
2.526779,125000000.0,362637473.0,Noah,139.0,5.5,Drama
2.523101,50000000.0,83719388.0,The Judge,141.0,7.2,Drama
2.445165,40000000.0,123494610.0,Blended,117.0,6.7,Comedy
2.376309,18000000.0,268157400.0,Neighbors,96.0,6.2,Comedy
2.361267,11000000.0,78874843.0,If I Stay,106.0,7.2,Drama
2.303556,45000000.0,86165646.0,Step Up All In,112.0,6.7,Romance
2.293859,12000000.0,305151265.0,The Fault in Our Stars,125.0,7.8,Romance
2.165462,25000000.0,153997819.0,Ride Along,99.0,6.1,Action
2.160156,20000000.0,11110975.0,Inherent Vice,148.0,6.3,Comedy
2.141491,60000000.0,50549107.0,Jack Ryan: Shadow Recruit,105.0,5.9,Action
2.136758,50000000.0,222809600.0,Non-Stop,106.0,6.8,Action
2.116264,5500000.0,3000000.0,Predestination,97.0,7.2,Science Fiction
1.957672,12600000.0,18658381.0,The Drop,106.0,6.6,Drama
1.940735,120000000.0,239379423.0,RoboCop,102.0,5.7,Science Fiction
1.904422,100000000.0,103039258.0,Transcendence,119.0,5.9,Thriller
1.900038,40000000.0,196781193.0,The Other Woman,109.0,6.2,Comedy
1.894706,145000000.0,272912430.0,Mr. Peabody & Sherman,92.0,6.8,Animation
1.840817,65000000.0,39407616.0,Sin City: A Dame to Kill For,102.0,6.2,Crime
1.811692,103000000.0,500188435.0,Rio 2,102.0,6.5,Animation
1.805954,40000000.0,169837010.0,Dumb and Dumber To,110.0,5.5,Comedy
1.779861,70000000.0,154984035.0,The Monuments Men,118.0,5.7,War
1.769987,65000000.0,163442937.0,Unbroken,137.0,7.2,Drama
1.754707,20000000.0,66787908.0,Selma,127.0,7.5,History
1.737699,4900000.0,3494070.0,Mommy,138.0,8.0,Drama
1.64932099999999,15000000.0,52501541.0,Wild,115.0,6.9,Drama
1.638781,130000000.0,117831631.0,Pompeii,105.0,5.1,Action
1.63015,26000000.0,35926213.0,The Best of Me,117.0,7.2,Drama
1.58801,65000000.0,133821816.0,Annie,119.0,6.1,Music
1.54505499999999,50000000.0,97437106.0,The Book of Life,95.0,7.3,Romance
1.542392,13000000.0,54837234.0,St. Vincent,102.0,7.1,Comedy
1.541069,66000000.0,203277636.0,Need for Speed,130.0,6.2,Action
1.44904599999999,22000000.0,88880821.0,The Hundred-Foot Journey,122.0,7.2,Drama
1.440084,60000000.0,108255770.0,The Boxtrolls,97.0,6.6,Animation
1.398713,10000000.0,28883511.0,Big Eyes,105.0,6.8,Drama
1.394382,18000000.0,266586800.0,The Prince,93.0,4.6,Thriller
1.319416,4000000.0,600896.0,The Signal,95.0,5.8,Thriller
1.3155,50000000.0,160602194.0,Into the Storm,89.0,5.7,Action
1.240895,50000000.0,151165787.0,Planes: Fire & Rescue,83.0,5.9,Animation
1.214094,35000000.0,17508518.0,Sabotage,110.0,5.4,Action
1.146492,13200000.0,53830415.0,No Good Deed,84.0,5.8,Thriller
1.142614,5000000.0,41797583.0,Still Alice,99.0,7.5,Drama
1.140302,5000000.0,40100000.0,"As Above, So Below",93.0,6.1,Horror
1.136851,24000000.0,12096300.0,Foxcatcher,134.0,6.5,Drama
1.077877,20000000.0,34077920.0,Endless Love,103.0,6.6,Drama
1.052381,12250000.0,2295423.0,The Rover,100.0,6.0,Crime
1.041267,24000000.0,70181428.0,Think Like a Man Too,106.0,6.2,Comedy
1.039133,15000000.0,9104716.0,Suite Fran̤aise,107.0,6.9,Drama
1.027357,15000000.0,59209.0,Walk of Shame,95.0,5.7,Comedy
1.018115,6500000.0,255273813.0,Annabelle,99.0,5.6,Horror
0.989916,65000000.0,71154592.0,"I, Frankenstein",92.0,5.1,Horror
0.988081,8000000.0,26049082.0,That Awkward Moment,94.0,6.0,Comedy
0.98174,27000000.0,28831145.0,Draft Day,109.0,6.5,Drama
0.979655,28000000.0,68896829.0,Brick Mansions,90.0,5.8,Action
0.967846,2000000.0,6676471.0,The Babadook,93.0,6.5,Drama
0.966048,20000000.0,100525432.0,Tammy,97.0,5.1,Comedy
0.92537,60000000.0,30800231.0,Winter's Tale,118.0,5.9,Drama
0.916435,5000000.0,2367161.0,The Guest,99.0,6.6,Mystery
0.893120999999999,22500000.0,15520023.0,The Water Diviner,112.0,6.8,War
0.890965,5000000.0,6833445.0,The Green Inferno,100.0,4.8,Horror
0.876513999999999,28000000.0,100654149.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81.0,6.2,Family
0.876066,19800000.0,41296320.0,This Is Where I Leave You,103.0,6.5,Drama
0.870104,16000000.0,2429989.0,The Homesman,122.0,6.2,Western
0.805839,8500000.0,7500000.0,Big Game,90.0,5.2,Action
0.797723,40000000.0,67347013.0,Jersey Boys,134.0,6.7,Music
0.796721,12500000.0,49002684.0,About Last Night,100.0,5.8,Comedy
0.786397999999999,25000000.0,38307627.0,Million Dollar Arm,124.0,6.6,Drama
0.778247,5500000.0,5483299.0,Wish I Was Here,120.0,6.3,Drama
0.777096,6700000.0,1430655.0,Infinitely Polar Bear,87.0,7.0,Comedy
0.757089,13300000.0,5380251.0,Under the Skin,108.0,6.0,Thriller
0.751772999999999,6000000.0,3485127.0,Veronica Mars,107.0,6.3,Comedy
0.740796,22000000.0,67800064.0,Son of God,138.0,5.8,Drama
0.728025,6000000.0,15071.0,Barefoot,90.0,6.5,Comedy
0.72546,3500000.0,5155325.0,Justice League: War,79.0,7.0,Animation
0.722877,8500000.0,770706.0,The Zero Theorem,107.0,5.7,Drama
0.714661,15000000.0,30127963.0,When the Game Stands Tall,115.0,6.2,Drama
0.688179,2000000.0,48390.0,Decoding Annie Parker,91.0,5.2,Drama
0.667732,200000.0,17834867.0,The Quiet Ones,98.0,5.1,Horror
0.660405,15000000.0,31554855.0,A Most Wanted Man,121.0,6.3,Thriller
0.646336999999999,6500000.0,13865435.0,The Pyramid,89.0,4.7,Horror
0.635214,6600000.0,1554000.0,Clouds of Sils Maria,124.0,6.8,Drama
0.632047999999999,5000000.0,2450846.0,Kill the Messenger,112.0,6.5,Thriller
0.615729,1000000.0,9318.0,Honeymoon,87.0,5.3,Horror
0.602735,2000000.0,4635300.0,Locke,85.0,6.8,Drama
0.599079,36000000.0,52424533.0,Dolphin Tale 2,107.0,6.8,Family
0.590256999999999,1000000.0,26501323.0,The Woman in Black 2: Angel of Death,90.0,4.9,Thriller
0.574398,50000000.0,80383113.0,Muppets Most Wanted,112.0,6.2,Comedy
0.559472,2800000.0,1826705.0,Tusk,102.0,4.9,Comedy
0.548656,6000000.0,1020921.0,5 Flights Up,92.0,5.9,Drama
0.540852,12000000.0,101332962.0,Heaven is for Real,99.0,6.1,Drama
0.49584,70000000.0,61279452.0,The Legend of Hercules,99.0,4.4,Action
0.485296,30000000.0,25312387.0,And So It Goes,94.0,5.7,Comedy
0.470651,2400000.0,88273.0,Life After Beth,90.0,4.8,Romance
0.446458,5500000.0,5000000.0,Miss Julie,120.0,5.4,Drama
0.407983,6000000.0,32251.0,Song One,86.0,5.7,Drama
0.403579,1000000.0,395000.0,A Girl Walks Home Alone at Night,99.0,7.0,Horror
0.401153,318000.0,121179.0,Afflicted,85.0,6.1,Horror
0.398601,7000000.0,14618727.0,Beyond the Lights,116.0,6.9,Drama
0.386307,5000000.0,10429707.0,Moms' Night Out,98.0,5.7,Comedy
0.382434,13000000.0,45300000.0,Earth to Echo,89.0,5.7,Family
0.350612,25000000.0,39171130.0,The Gambler,111.0,5.6,Thriller
0.34162,12700000.0,3430018.0,The Grand Seduction,112.0,6.7,Comedy
0.340308,4000000.0,2365467.0,Joe,118.0,6.5,Drama
0.318941,500000.0,15000000.0,Parts Per Billion,139.0,4.8,Science Fiction
0.317225,5000000.0,75143.0,Better Living Through Chemistry,91.0,5.9,Drama
0.300442,17000000.0,29789000.0,God's Not Dead,113.0,6.1,Drama
0.283225,7000000.0,36433975.0,Devil's Due,89.0,4.5,Horror
0.751476,5000000.0,4013786.0,My Old Lady,107.0,6.0,Romance
0.19104,8000000.0,53086.0,Aloft,112.0,5.1,Drama
0.151591,5900000.0,23000000.0,Mrs. Brown's Boys D'Movie,94.0,5.2,Comedy
12.037933,11000000.0,775398007.0,Star Wars,121.0,7.9,Adventure
2.379469,14000000.0,185438673.0,The Spy Who Loved Me,125.0,6.2,Adventure
1.719385,1200000.0,71215869.0,The Rescuers,78.0,6.6,Fantasy
1.179653,4000000.0,38251425.0,Annie Hall,93.0,7.6,Comedy
1.104816,20000000.0,303788635.0,Close Encounters of the Third Kind,135.0,7.0,Science Fiction
1.048838,22000000.0,50750000.0,A Bridge Too Far,175.0,6.4,Drama
0.75125,3500000.0,16000000.0,Sinbad and the Eye of the Tiger,113.0,5.9,Action
0.602862,3500000.0,237113184.0,Saturday Night Fever,118.0,6.3,Drama
0.560826,3400000.0,31063038.0,High Anxiety,94.0,6.2,Comedy
0.49548,5500000.0,26414658.0,The Gauntlet,109.0,6.7,Drama
0.375967,14000000.0,30749142.0,Exorcist II: The Heretic,118.0,4.6,Horror
0.373131,6000000.0,30000000.0,Airport '77,114.0,5.7,Action
0.331417,10000.0,7000000.0,Eraserhead,89.0,7.1,Science Fiction
0.228797,6000000.0,14717854.0,Orca: The Killer Whale,92.0,5.0,Drama
0.219941,22000000.0,12000000.0,Sorcerer,121.0,7.4,Action
0.191541,810000.0,1258000.0,The Last Wave,106.0,5.8,Drama
0.164123,500000.0,17000000.0,Kingdom of the Spiders,97.0,5.7,Horror
0.175656999999999,1200000.0,9000000.0,Wizards,80.0,6.0,Animation
0.137351,230000.0,25000000.0,The Hills Have Eyes,89.0,6.0,Horror
9.432768,237000000.0,2781505847.0,Avatar,162.0,7.1,Action
6.098027,70000000.0,319131050.0,Inglourious Basterds,153.0,7.7,Drama
5.806897,35000000.0,91327197.0,Underworld: Rise of the Lycans,92.0,6.2,Fantasy
5.076472,250000000.0,933959197.0,Harry Potter and the Half-Blood Prince,153.0,7.3,Adventure
4.90890199999999,175000000.0,731342744.0,Up,96.0,7.6,Animation
3.82957,150000000.0,385680446.0,Star Trek,127.0,7.3,Science Fiction
3.789633,200000000.0,371353001.0,Terminator Salvation,115.0,5.8,Drama
3.744956,30000000.0,210819611.0,District 9,112.0,7.1,Action
3.431559,90000000.0,524028679.0,Sherlock Holmes,128.0,6.9,Adventure
3.244139,7500000.0,60722734.0,(500) Days of Summer,95.0,7.3,Comedy
3.154914,90000000.0,886686817.0,Ice Age: Dawn of the Dinosaurs,94.0,6.4,Animation
3.15306,35000000.0,459270619.0,The Hangover,100.0,7.1,Comedy
3.038063,130000000.0,185258983.0,Watchmen,162.0,6.8,Action
2.979786,200000000.0,769653595.0,2012,158.0,5.6,Action
2.846465,30000000.0,48428063.0,9,79.0,6.5,Action
2.841562,150000000.0,356613439.0,Angels & Demons,138.0,6.3,Thriller
2.463982,105000000.0,267045765.0,The Princess and the Frog,97.0,6.5,Romance
2.367474,29000000.0,309208309.0,The Blind Side,129.0,7.1,Drama
2.041804,23600000.0,102391382.0,Zombieland,88.0,7.1,Comedy
1.971027,50000000.0,709827462.0,The Twilight Saga: New Moon,130.0,5.6,Adventure
1.926432,40000000.0,177259441.0,He's Just Not That Into You,129.0,6.0,Comedy
1.906998,175000000.0,302469017.0,G.I. Joe: The Rise of Cobra,118.0,5.7,Adventure
1.895894,40000000.0,317375031.0,The Proposal,108.0,6.7,Comedy
1.860267,38000000.0,205298907.0,The Ugly Truth,96.0,6.3,Comedy
1.849649,100000000.0,242988466.0,Cloudy with a Chance of Meatballs,90.0,6.4,Animation
1.826169,40000000.0,46471023.0,Fantastic Mr. Fox,87.0,7.5,Adventure
1.75384,60000000.0,124596398.0,Coraline,100.0,7.1,Animation
